currency,rate,date,rate_in_GBP
XCD,3.042401,2025-04-10,3.5117904192238836
XCD,3.073437,2025-04-20,3.585069428243484
XDR,0.835997,2025-04-10,0.9649767585206254
XDR,0.816192,2025-04-20,0.9520627840352367
XOF,670.379593,2025-04-10,773.8074737487289
XOF,653.910299,2025-04-20,762.766187092319
XPF,119.331742,2025-04-20,139.1967950093784
XPF,119.331742,2025-04-10,137.74254881749525
YER,276.144389,2025-04-10,318.74865266368016
YER,278.90694,2025-04-20,325.3363397131419
ZAR,21.952775,2025-04-10,25.339705357833367
ZAR,21.425542,2025-04-20,24.99223364843553
ZMK,10133.119599,2025-04-10,11696.483246165762
ZMK,10236.482701,2025-04-20,11940.54121952016
ZMW,31.754121,2025-04-10,36.653228124325466
ZMW,32.36396,2025-04-20,37.751560735715415
ZWL,366.189511,2025-04-20,427.1487656423512
ZWL,362.491731,2025-04-10,418.4178837614375
